chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
骨,gǔ,Bộ Cốt — xương,骨头,gǔtou,xương,Cơ thể & sức khỏe
血,xuè,Bộ Huyết — máu,流血,liúxuè,chảy máu,Cơ thể & sức khỏe
牙,yá,Bộ Nha — răng,牙齿,yáchǐ,răng,Cơ thể & sức khỏe
齿,chǐ,Bộ Xỉ — răng,牙齿,yáchǐ,răng,Cơ thể & sức khỏe
皮,pí,Bộ Bì — da,皮肤,pífū,da,Cơ thể & sức khỏe
毛,máo,Bộ Mao — lông,羽毛,yǔmáo,lông vũ,Cơ thể & sức khỏe
身,shēn,Bộ Thân — thân thể,身体,shēntǐ,cơ thể,Cơ thể & sức khỏe
面,miàn,Bộ Diện — mặt,面子,miànzi,thể diện,Cơ thể & sức khỏe
首,shǒu,Bộ Thủ — đầu,首都,shǒudū,thủ đô,Cơ thể & sức khỏe
肉,ròu,Bộ Nhục — thịt,肉类,ròulèi,các loại thịt,Cơ thể & sức khỏe
