chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
日,rì,"Bộ Nhật — mặt trời, ngày",日子,rìzi,ngày tháng,Thiên nhiên
月,yuè,"Bộ Nguyệt — mặt trăng, tháng",月亮,yuèliang,mặt trăng,Thiên nhiên
水,shuǐ,Bộ Thủy — nước,水果,shuǐguǒ,trái cây,Thiên nhiên
火,huǒ,Bộ Hỏa — lửa,火车,huǒchē,tàu hỏa,Thiên nhiên
土,tǔ,Bộ Thổ — đất,土地,tǔdì,đất đai,Thiên nhiên
山,shān,Bộ Sơn — núi,山水,shānshuǐ,non nước,Thiên nhiên
石,shí,Bộ Thạch — đá,石头,shítou,hòn đá,Thiên nhiên
雨,yǔ,Bộ Vũ — mưa,下雨,xiàyǔ,trời mưa,Thiên nhiên
风,fēng,Bộ Phong — gió,大风,dàfēng,gió lớn,Thiên nhiên
气,qì,"Bộ Khí — hơi, không khí",空气,kōngqì,không khí,Thiên nhiên
木,mù,"Bộ Mộc — cây, gỗ",树木,shùmù,cây cối,Thiên nhiên
