chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
一,yī,Bộ Nhất — một,,,,1 nét
丨,gǔn,Bộ Cổn — nét sổ,,,,1 nét
丶,zhǔ,Bộ Chủ — nét chấm,,,,1 nét
丿,piě,Bộ Phiệt — nét phẩy,,,,1 nét
乙,yǐ,Bộ Ất — can Ất,,,,1 nét
亅,jué,Bộ Quyết — nét móc,,,,1 nét
二,èr,Bộ Nhị — hai,,,,2 nét
亠,tóu,Bộ Đầu — bộ đầu (nét trên),,,,2 nét
人,rén,Bộ Nhân — người,,,,2 nét
儿,ér,Bộ Nhân đi — chân người,,,,2 nét
入,rù,Bộ Nhập — vào,,,,2 nét
八,bā,Bộ Bát — tám,,,,2 nét
冂,jiōng,Bộ Quynh — vùng biên,,,,2 nét
冖,mì,Bộ Mịch — trùm khăn,,,,2 nét
冫,bīng,Bộ Băng — nước đá,,,,2 nét
几,jī,Bộ Kỷ — ghế nhỏ,,,,2 nét
凵,kǎn,"Bộ Khảm — há miệng, hố",,,,2 nét
刀,dāo,Bộ Đao — dao,,,,2 nét
力,lì,Bộ Lực — sức lực,,,,2 nét
勹,bāo,Bộ Bao — bao bọc,,,,2 nét
匕,bǐ,"Bộ Chủy — thìa, dao găm",,,,2 nét
匚,fāng,Bộ Phương — hộp vuông,,,,2 nét
匸,xì,Bộ Hệ — che đậy,,,,2 nét
十,shí,Bộ Thập — mười,,,,2 nét
卜,bǔ,Bộ Bốc — xem bói,,,,2 nét
卩,jié,"Bộ Tiết — đốt, con dấu",,,,2 nét
厂,hàn,Bộ Hán — sườn núi,,,,2 nét
厶,sī,Bộ Tư — riêng tư,,,,2 nét
又,yòu,Bộ Hựu — lại; tay phải,,,,2 nét
