chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
口,kǒu,Bộ Khẩu — miệng,,,,3 nét
囗,wéi,Bộ Vi — vây quanh,,,,3 nét
土,tǔ,Bộ Thổ — đất,,,,3 nét
士,shì,Bộ Sĩ — kẻ sĩ,,,,3 nét
夂,zhǐ,Bộ Truy — đi chậm,,,,3 nét
夊,suī,Bộ Tuy — đi thong thả,,,,3 nét
夕,xī,Bộ Tịch — chiều tối,,,,3 nét
大,dà,Bộ Đại — lớn,,,,3 nét
女,nǚ,Bộ Nữ — nữ giới,,,,3 nét
子,zǐ,Bộ Tử — con,,,,3 nét
宀,mián,Bộ Miên — mái nhà,,,,3 nét
寸,cùn,Bộ Thốn — tấc,,,,3 nét
小,xiǎo,Bộ Tiểu — nhỏ,,,,3 nét
尢,wāng,Bộ Uông — què,,,,3 nét
尸,shī,"Bộ Thi — thây, xác",,,,3 nét
屮,chè,Bộ Triệt — mầm cây,,,,3 nét
山,shān,Bộ Sơn — núi,,,,3 nét
巛,chuān,Bộ Xuyên — sông,,,,3 nét
工,gōng,"Bộ Công — thợ, công",,,,3 nét
己,jǐ,Bộ Kỷ — bản thân,,,,3 nét
巾,jīn,Bộ Cân — khăn,,,,3 nét
干,gān,Bộ Can — cái mộc; can,,,,3 nét
幺,yāo,Bộ Yêu — nhỏ bé,,,,3 nét
广,guǎng,Bộ Nghiễm — mái hiên,,,,3 nét
廴,yǐn,Bộ Dẫn — bước dài,,,,3 nét
廾,gǒng,Bộ Củng — chắp tay,,,,3 nét
弋,yì,Bộ Dặc — cọc; bắn,,,,3 nét
弓,gōng,Bộ Cung — cây cung,,,,3 nét
彐,jì,Bộ Kệ — đầu con nhím,,,,3 nét
彡,shān,"Bộ Sam — lông, tóc",,,,3 nét
彳,chì,Bộ Xích — bước chân trái,,,,3 nét
