chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
一,yī,Bộ Nhất — một,,,,1–2 nét
丨,gǔn,Bộ Cổn — nét sổ,,,,1–2 nét
丶,zhǔ,Bộ Chủ — nét chấm,,,,1–2 nét
丿,piě,Bộ Phiệt — nét phẩy,,,,1–2 nét
乙,yǐ,Bộ Ất — can Ất,,,,1–2 nét
亅,jué,Bộ Quyết — nét móc,,,,1–2 nét
二,èr,Bộ Nhị — hai,,,,1–2 nét
亠,tóu,Bộ Đầu — bộ đầu (nét trên),,,,1–2 nét
人,rén,Bộ Nhân — người,,,,1–2 nét
儿,ér,Bộ Nhân đi — chân người,,,,1–2 nét
入,rù,Bộ Nhập — vào,,,,1–2 nét
八,bā,Bộ Bát — tám,,,,1–2 nét
冂,jiōng,Bộ Quynh — vùng biên,,,,1–2 nét
冖,mì,Bộ Mịch — trùm khăn,,,,1–2 nét
冫,bīng,Bộ Băng — nước đá,,,,1–2 nét
几,jī,Bộ Kỷ — ghế nhỏ,,,,1–2 nét
凵,kǎn,"Bộ Khảm — há miệng, hố",,,,1–2 nét
刀,dāo,Bộ Đao — dao,,,,1–2 nét
力,lì,Bộ Lực — sức lực,,,,1–2 nét
勹,bāo,Bộ Bao — bao bọc,,,,1–2 nét
匕,bǐ,"Bộ Chủy — thìa, dao găm",,,,1–2 nét
匚,fāng,Bộ Phương — hộp vuông,,,,1–2 nét
匸,xì,Bộ Hệ — che đậy,,,,1–2 nét
十,shí,Bộ Thập — mười,,,,1–2 nét
卜,bǔ,Bộ Bốc — xem bói,,,,1–2 nét
卩,jié,"Bộ Tiết — đốt, con dấu",,,,1–2 nét
厂,hàn,Bộ Hán — sườn núi,,,,1–2 nét
厶,sī,Bộ Tư — riêng tư,,,,1–2 nét
又,yòu,Bộ Hựu — lại; tay phải,,,,1–2 nét
口,kǒu,Bộ Khẩu — miệng,,,,3 nét
囗,wéi,Bộ Vi — vây quanh,,,,3 nét
土,tǔ,Bộ Thổ — đất,,,,3 nét
士,shì,Bộ Sĩ — kẻ sĩ,,,,3 nét
夂,zhǐ,Bộ Truy — đi chậm,,,,3 nét
夊,suī,Bộ Tuy — đi thong thả,,,,3 nét
夕,xī,Bộ Tịch — chiều tối,,,,3 nét
大,dà,Bộ Đại — lớn,,,,3 nét
女,nǚ,Bộ Nữ — nữ giới,,,,3 nét
子,zǐ,Bộ Tử — con,,,,3 nét
宀,mián,Bộ Miên — mái nhà,,,,3 nét
寸,cùn,Bộ Thốn — tấc,,,,3 nét
小,xiǎo,Bộ Tiểu — nhỏ,,,,3 nét
尢,wāng,Bộ Uông — què,,,,3 nét
尸,shī,"Bộ Thi — thây, xác",,,,3 nét
屮,chè,Bộ Triệt — mầm cây,,,,3 nét
山,shān,Bộ Sơn — núi,,,,3 nét
巛,chuān,Bộ Xuyên — sông,,,,3 nét
工,gōng,"Bộ Công — thợ, công",,,,3 nét
己,jǐ,Bộ Kỷ — bản thân,,,,3 nét
巾,jīn,Bộ Cân — khăn,,,,3 nét
干,gān,Bộ Can — cái mộc; can,,,,3 nét
幺,yāo,Bộ Yêu — nhỏ bé,,,,3 nét
广,guǎng,Bộ Nghiễm — mái hiên,,,,3 nét
廴,yǐn,Bộ Dẫn — bước dài,,,,3 nét
廾,gǒng,Bộ Củng — chắp tay,,,,3 nét
弋,yì,Bộ Dặc — cọc; bắn,,,,3 nét
弓,gōng,Bộ Cung — cây cung,,,,3 nét
彐,jì,Bộ Kệ — đầu con nhím,,,,3 nét
彡,shān,"Bộ Sam — lông, tóc",,,,3 nét
彳,chì,Bộ Xích — bước chân trái,,,,3 nét
心,xīn,"Bộ Tâm — tim, lòng",,,,4 nét
